Input,Output
-180,0.80115263573383
-179.9,0.737403896157891
-179.8,0.666287260604864
-179.7,0.588513302989159
-179.6,0.504859114986646
-179.5,0.416160541591399
-179.4,0.323303829628957
-179.3,0.2272167726709
-179.2,0.128859440828195
-179.1,0.029214588048003
-179,-0.070722167238878
-178.9,-0.169952290008376
-178.8,-0.26748430567487
-178.7,-0.362343706577615
-178.6,-0.453582688939143
-178.5,-0.540289623007294
-178.4,-0.621598161758362
-178.3,-0.696695897150154
-178.2,-0.764832477434689
-178.1,-0.825327104424702
-178,-0.877575335804174
-177.9,-0.921055124516128
-177.8,-0.955332034884264
-177.7,-0.980063583350623
-177.6,-0.995002660458089
-177.5,-0.999999999886415
-177.4,-0.995005669871929
-177.3,-0.980069572109228
-177.2,-0.955340943149942
-177.1,-0.921066863280433
-177,-0.877589787777266
-176.9,-0.825344125207233
-176.8,-0.764851896960626
-176.7,-0.696717521386012
-176.6,-0.621621774641903
-176.5,-0.540314988606412
-176.4,-0.453609553809155
-176.3,-0.362371802293648
-176.2,-0.267513351513789
-176.1,-0.169981995753763
-176,-0.070752236080742
-175.9,0.029184456547618
-175.8,0.128829547733252
-175.7,0.227187416663295
-175.6,0.323275304024242
-175.5,0.416133131407988
-175.4,0.50483309409803
-175.3,0.588488931387479
-175.2,0.666264781803083
-175.1,0.737383534756767
-175.000000000001,0.801134595177735
-174.900000000001,0.856880983543595
-174.800000000001,0.904065700369083
-174.700000000001,0.942217291560873
-174.600000000001,0.970954559031015
-174.500000000001,0.989990369502226
-174.400000000001,0.999134523448679
-174.300000000001,0.998295655506799
-174.200000000001,0.987482147367767
-174.100000000001,0.966802044030437
-174.000000000001,0.936461974251423
-173.900000000001,0.896765085978862
-173.800000000001,0.848108017398327
-173.700000000001,0.790976933855204
-173.600000000001,0.725942670251197
-173.500000000001,0.653655027450785
-173.400000000001,0.574836279685709
-173.300000000001,0.490273957829626
-173.200000000001,0.400812980649933
-173.100000000001,0.307347212658743
-173.000000000001,0.210810532914176
-172.900000000001,0.112167504009401
-172.800000000001,0.012403734482211
-172.700000000001,-0.087483969059795
-172.600000000001,-0.186497561701311
-172.500000000001,-0.283647732354206
-172.400000000001,-0.377963788626866
-172.300000000001,-0.468503355661811
-172.200000000001,-0.554361792033604
-172.100000000001,-0.634681228627042
-172.000000000001,-0.708659140181761
-171.900000000001,-0.775556363859352
-171.800000000001,-0.83470448471411
-171.700000000001,-0.885512514274211
-171.600000000001,-0.927472795503222
-171.500000000001,-0.96016607514131
-171.400000000001,-0.983265692745294
-171.300000000001,-0.996540844571794
-171.200000000001,-0.999858889691939
-171.100000000001,-0.993186675295691
-171.000000000001,-0.976590867943761
-170.900000000001,-0.950237287457357
-170.800000000001,-0.914389250101365
-170.700000000001,-0.869404937615261
-170.600000000001,-0.81573381837957
-170.500000000001,-0.753912156476382
-170.400000000001,-0.684557653515929
-170.300000000001,-0.608363276766201
-170.200000000001,-0.526090335253189
-170.100000000001,-0.438560873012672
-170.000000000001,-0.346649455497963
-169.900000000001,-0.251274431210995
-169.800000000001,-0.153388755867678
-169.700000000001,-0.053970470779285
-169.600000000001,0.045987069412868
-169.500000000001,0.145485122008752
-169.400000000001,0.243529535356512
-169.300000000001,0.339140682087152
-169.200000000001,0.431363247227383
-169.100000000001,0.519275773391025
-169.000000000001,0.60199986767672
-168.900000000001,0.678708978279288
-168.800000000001,0.748636653122251
-168.700000000001,0.811084197993594
-168.600000000001,0.865427657667375
-168.500000000001,0.911124050258094
-168.400000000001,0.947716792516195
-168.300000000001,0.974840261857008
-168.200000000001,0.992223449540694
-168.100000000001,0.999692668502037
-168.000000000001,0.997173288774169
-167.900000000001,0.984690483166537
-167.800000000001,0.962368975746503
-167.700000000001,0.930431795637711
-167.600000000001,0.889198048586761
-167.500000000001,0.839079728564128
-167.400000000001,0.780577601256566
-167.300000000001,0.714276200581899
-167.200000000001,0.640837988219339
-167.100000000001,0.560996734511391
-167.000000000001,0.475550186873049
-166.900000000001,0.385352098963464
-166.800000000001,0.291303700261505
-166.700000000001,0.194344691278734
-166.600000000001,0.095443854382521
-166.500000000001,-0.004410625957111
-166.400000000001,-0.104221036780167
-166.300000000001,-0.202990105454609
-166.200000000001,-0.299730964094958
-166.100000000001,-0.393477010019954
-166.000000000001,-0.483291563727037
-165.900000000001,-0.568277227884312
-165.800000000001,-0.647584853828022
-165.700000000001,-0.720422025975399
-165.600000000001,-0.786060979379092
-165.500000000001,-0.843845871314042
-165.400000000001,-0.893199334241183
-165.300000000001,-0.933628244673033
-165.200000000001,-0.964728650300576
-165.100000000002,-0.986189806151207
-165.000000000002,-0.997797279449791
-164.900000000002,-0.999435092160043
-164.800000000002,-0.991086879798751
-164.700000000002,-0.972836054944276
-164.600000000002,-0.944864973805645
-164.500000000002,-0.907453114179595
-164.400000000002,-0.860974283000773
-164.300000000002,-0.805892881386468
-164.200000000002,-0.742759264494119
-164.100000000002,-0.672204242554515
-164.000000000002,-0.594932778024488
-163.900000000002,-0.511716941835095
-163.800000000002,-0.423388199113995
-163.700000000002,-0.33082910146088
-163.600000000002,-0.23496446878353
-163.500000000002,-0.136752148803022
-163.400000000002,-0.037173446555925
-163.300000000002,0.062776680481251
-163.200000000002,0.162099563678242
-163.100000000002,0.259802801617981
-163.000000000002,0.354910175843341
-162.900000000002,0.446471404909381
-162.800000000002,0.533571639281392
-162.700000000002,0.615340602209039
-162.600000000002,0.690961285243973
-162.500000000002,0.759678111518165
-162.400000000002,0.820804485218287
-162.300000000002,0.873729651823998
-162.200000000002,0.917924800565309
-162.100000000002,0.952948348124969
-162.000000000002,0.97845035079301
-161.900000000002,0.994176000988612
-161.800000000002,0.999968173213231
-161.700000000002,0.995768993996638
-161.600000000002,0.981620420149498
-161.500000000002,0.957663819544796
-161.400000000002,0.924138558616775
-161.300000000002,0.881379610690649
-161.200000000002,0.829814209039867
-161.100000000002,0.769957578112486
-161.000000000002,0.702407785578726
-160.900000000002,0.62783976663661
-160.800000000002,0.546998580282495
-160.700000000002,0.460691964927889
-160.600000000002,0.369782267744267
-160.500000000002,0.275177828375087
-160.400000000002,0.177823903106479
-160.300000000002,0.078693220178798
-160.200000000002,-0.021223739392389
-160.100000000002,-0.120928638375202
-160.000000000002,-0.219425258377064
-159.900000000002,-0.315729453729542
-159.800000000002,-0.408878984746665
-159.700000000002,-0.497943132105622
-159.600000000002,-0.582031996286696
-159.500000000002,-0.660305389155072
-159.400000000002,-0.731981228842954
-159.300000000002,-0.796343354053063
-159.200000000002,-0.852748679705575
-159.100000000002,-0.900633622431723
-159.000000000002,-0.939519731712428
-158.900000000002,-0.969018470397797
-158.800000000002,-0.988835096841871
-158.700000000002,-0.998771609863728
-158.600000000002,-0.998728727109827
-158.500000000002,-0.988706877050475
-158.400000000002,-0.968806194698676
-158.300000000002,-0.939225521094199
-158.200000000002,-0.90026041654963
-158.100000000002,-0.852300207509426
-158.000000000002,-0.79582409652878
-157.900000000002,-0.731396374240091
-157.800000000002,-0.659660781147515
-157.700000000002,-0.581334075584557
-157.600000000002,-0.497198872101856
-157.500000000002,-0.408095821841209
-157.400000000002,-0.314915213027269
-157.300000000002,-0.218588075501918
-157.200000000002,-0.120076878181737
-157.100000000002,-0.020365912386902
-157.000000000002,0.079548542872427
-156.900000000002,0.178668175386627
-156.800000000002,0.276002614552211
-156.700000000002,0.370579326827524
-156.600000000002,0.46145333296639
-156.500000000002,0.547716649938475
-156.400000000002,0.628507363195429
-156.300000000002,0.703018238636246
-156.200000000002,0.770504788223545
-156.100000000002,0.830292708661935
-156.000000000002,0.881784618813655
-155.900000000002,0.924466028533421
-155.800000000002,0.957910479283936
-155.700000000002,0.981783805168553
-155.600000000002,0.995847471806505
-155.500000000002,0.999960959689575
-155.400000000002,0.994083168206575
-155.300000000002,0.978272826307063
-155.200000000002,0.952687905701104
-155.100000000003,0.917584042458126
-155.000000000003,0.873311982775866
-154.900000000003,0.820314078440271
-154.800000000003,0.759119866992685
-154.700000000003,0.690340780765775
-154.600000000003,0.614664037653799
-154.500000000003,0.532845774658483
-154.400000000003,0.445703492818176
